weekday,direction,metric,weekpart,season,sum_flow,sample_count
Fri,Westbound Centre Lane,trt,Weekday,Summer,1.0,118
Fri,Westbound Centre Lane,trt,Weekday,Winter,0.0,90
Fri,Westbound Centre Lane,ucv,Weekday,Autumn,207.0,110
Fri,Westbound Centre Lane,ucv,Weekday,Spring,211.0,115
Fri,Westbound Centre Lane,ucv,Weekday,Summer,249.0,118
Fri,Westbound Centre Lane,ucv,Weekday,Winter,179.0,90
Fri,Westbound Left Lane,art3,Weekday,Autumn,6140.0,110
Fri,Westbound Left Lane,art3,Weekday,Spring,6383.0,115
Fri,Westbound Left Lane,art3,Weekday,Summer,6478.0,118
Fri,Westbound Left Lane,art3,Weekday,Winter,4647.0,90
Fri,Westbound Left Lane,art4,Weekday,Autumn,4265.0,110
Fri,Westbound Left Lane,art4,Weekday,Spring,4301.0,115
Fri,Westbound Left Lane,art4,Weekday,Summer,4276.0,118
Fri,Westbound Left Lane,art4,Weekday,Winter,3366.0,90
Fri,Westbound Left Lane,art5,Weekday,Autumn,1827.0,110
Fri,Westbound Left Lane,art5,Weekday,Spring,2052.0,115
Fri,Westbound Left Lane,art5,Weekday,Summer,2005.0,118
Fri,Westbound Left Lane,art5,Weekday,Winter,1481.0,90
Fri,Westbound Left Lane,art6,Weekday,Autumn,10758.0,110
Fri,Westbound Left Lane,art6,Weekday,Spring,11651.0,115
Fri,Westbound Left Lane,art6,Weekday,Summer,11066.0,118
Fri,Westbound Left Lane,art6,Weekday,Winter,8878.0,90
Fri,Westbound Left Lane,bd,Weekday,Autumn,1955.0,110
Fri,Westbound Left Lane,bd,Weekday,Spring,2238.0,115
Fri,Westbound Left Lane,bd,Weekday,Summer,2074.0,118
Fri,Westbound Left Lane,bd,Weekday,Winter,1680.0,90
Fri,Westbound Left Lane,drt,Weekday,Autumn,12.0,110
Fri,Westbound Left Lane,drt,Weekday,Spring,17.0,115
Fri,Westbound Left Lane,drt,Weekday,Summer,10.0,118
Fri,Westbound Left Lane,drt,Weekday,Winter,11.0,90
Fri,Westbound Left Lane,sv,Weekday,Autumn,2326042.0,110
Fri,Westbound Left Lane,sv,Weekday,Spring,2549522.0,115
Fri,Westbound Left Lane,sv,Weekday,Summer,2664145.0,118
Fri,Westbound Left Lane,sv,Weekday,Winter,1989501.0,90
Fri,Westbound Left Lane,svt,Weekday,Autumn,25969.0,110
Fri,Westbound Left Lane,svt,Weekday,Spring,26083.0,115
Fri,Westbound Left Lane,svt,Weekday,Summer,30129.0,118
Fri,Westbound Left Lane,svt,Weekday,Winter,19316.0,90
Fri,Westbound Left Lane,t4,Weekday,Autumn,5987.0,110
Fri,Westbound Left Lane,t4,Weekday,Spring,6511.0,115
Fri,Westbound Left Lane,t4,Weekday,Summer,5849.0,118
Fri,Westbound Left Lane,t4,Weekday,Winter,5117.0,90
Fri,Westbound Left Lane,tb2,Weekday,Autumn,228308.0,110
Fri,Westbound Left Lane,tb2,Weekday,Spring,240311.0,115
Fri,Westbound Left Lane,tb2,Weekday,Summer,239633.0,118
Fri,Westbound Left Lane,tb2,Weekday,Winter,197637.0,90
Fri,Westbound Left Lane,tb3,Weekday,Autumn,13413.0,110
Fri,Westbound Left Lane,tb3,Weekday,Spring,14305.0,115
Fri,Westbound Left Lane,tb3,Weekday,Summer,14159.0,118
Fri,Westbound Left Lane,tb3,Weekday,Winter,11403.0,90
Fri,Westbound Left Lane,total_flow,Weekday,Autumn,2624891.0,110
Fri,Westbound Left Lane,total_flow,Weekday,Spring,2863577.0,115
Fri,Westbound Left Lane,total_flow,Weekday,Summer,2980049.0,118
Fri,Westbound Left Lane,total_flow,Weekday,Winter,2243193.0,90
Fri,Westbound Left Lane,trt,Weekday,Autumn,0.0,110
Fri,Westbound Left Lane,trt,Weekday,Spring,1.0,115
Fri,Westbound Left Lane,trt,Weekday,Summer,1.0,118
Fri,Westbound Left Lane,trt,Weekday,Winter,0.0,90
Fri,Westbound Left Lane,ucv,Weekday,Autumn,215.0,110
Fri,Westbound Left Lane,ucv,Weekday,Spring,202.0,115
Fri,Westbound Left Lane,ucv,Weekday,Summer,224.0,118
Fri,Westbound Left Lane,ucv,Weekday,Winter,156.0,90
