time_bin,direction,metric,weekpart,season,sum_flow,sample_count
00:00,Eastbound Left Lane,trt,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,ucv,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,ucv,Weekday,Spring,0.0,467
00:00,Eastbound Left Lane,ucv,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,ucv,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,ucv,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,ucv,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,ucv,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,ucv,Weekend,Winter,0.0,177
00:00,Eastbound Right Lane,art3,Weekday,Autumn,0.0,438
00:00,Eastbound Right Lane,art3,Weekday,Spring,0.0,467
00:00,Eastbound Right Lane,art3,Weekday,Summer,0.0,520
00:00,Eastbound Right Lane,art3,Weekday,Winter,0.0,347
00:00,Eastbound Right Lane,art3,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,art3,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,art3,Weekend,Summer,0.0,236
00:00,Eastbound Right Lane,art3,Weekend,Winter,0.0,176
00:00,Eastbound Right Lane,art4,Weekday,Autumn,0.0,438
00:00,Eastbound Right Lane,art4,Weekday,Spring,0.0,467
00:00,Eastbound Right Lane,art4,Weekday,Summer,1.0,520
00:00,Eastbound Right Lane,art4,Weekday,Winter,0.0,347
00:00,Eastbound Right Lane,art4,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,art4,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,art4,Weekend,Summer,1.0,236
00:00,Eastbound Right Lane,art4,Weekend,Winter,0.0,176
00:00,Eastbound Right Lane,art5,Weekday,Autumn,0.0,438
00:00,Eastbound Right Lane,art5,Weekday,Spring,0.0,467
00:00,Eastbound Right Lane,art5,Weekday,Summer,0.0,520
00:00,Eastbound Right Lane,art5,Weekday,Winter,0.0,347
00:00,Eastbound Right Lane,art5,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,art5,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,art5,Weekend,Summer,0.0,236
00:00,Eastbound Right Lane,art5,Weekend,Winter,0.0,176
00:00,Eastbound Right Lane,art6,Weekday,Autumn,0.0,438
00:00,Eastbound Right Lane,art6,Weekday,Spring,1.0,467
00:00,Eastbound Right Lane,art6,Weekday,Summer,0.0,520
00:00,Eastbound Right Lane,art6,Weekday,Winter,1.0,347
00:00,Eastbound Right Lane,art6,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,art6,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,art6,Weekend,Summer,0.0,236
00:00,Eastbound Right Lane,art6,Weekend,Winter,0.0,176
