date,time_bin,direction,total_flow,ped,pcl
2023-09-01,03:15,All directions,0.0,0.0,0.0
2023-09-01,03:15,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:15,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:15,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:15,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:20,All directions,1.0,1.0,0.0
2023-09-01,03:20,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,03:20,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:20,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:20,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:25,All directions,0.0,0.0,0.0
2023-09-01,03:25,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:25,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:25,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:25,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:30,All directions,0.0,0.0,0.0
2023-09-01,03:30,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:30,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:30,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:30,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:35,All directions,2.0,0.0,2.0
2023-09-01,03:35,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:35,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:35,Southern Shared Path Eastbound,2.0,0.0,2.0
2023-09-01,03:35,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:40,All directions,1.0,1.0,0.0
2023-09-01,03:40,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:40,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:40,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,03:40,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:45,All directions,1.0,1.0,0.0
2023-09-01,03:45,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:45,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:45,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,03:45,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:50,All directions,1.0,1.0,0.0
2023-09-01,03:50,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:50,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:50,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:50,Southern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,03:55,All directions,0.0,0.0,0.0
2023-09-01,03:55,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:55,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:55,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:55,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:00,All directions,2.0,1.0,1.0
2023-09-01,04:00,Northern Shared Path Eastbound,2.0,1.0,1.0
2023-09-01,04:00,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:00,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:00,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:05,All directions,0.0,0.0,0.0
2023-09-01,04:05,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:05,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:05,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:05,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:10,All directions,1.0,1.0,0.0
2023-09-01,04:10,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:10,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:10,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:10,Southern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,04:15,All directions,2.0,0.0,2.0
2023-09-01,04:15,Northern Shared Path Eastbound,2.0,0.0,2.0
2023-09-01,04:15,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:15,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:15,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:20,All directions,7.0,0.0,7.0
2023-09-01,04:20,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:20,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:20,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:20,Southern Shared Path Westbound,7.0,0.0,7.0
2023-09-01,04:25,All directions,9.0,0.0,9.0
2023-09-01,04:25,Northern Shared Path Eastbound,1.0,0.0,1.0
2023-09-01,04:25,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:25,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:25,Southern Shared Path Westbound,8.0,0.0,8.0
2023-09-01,04:30,All directions,16.0,0.0,16.0
2023-09-01,04:30,Northern Shared Path Eastbound,5.0,0.0,5.0
2023-09-01,04:30,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:30,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:30,Southern Shared Path Westbound,11.0,0.0,11.0
2023-09-01,04:35,All directions,5.0,1.0,4.0
2023-09-01,04:35,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:35,Northern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,04:35,Southern Shared Path Eastbound,1.0,0.0,1.0
2023-09-01,04:35,Southern Shared Path Westbound,3.0,0.0,3.0
2023-09-01,04:40,All directions,1.0,1.0,0.0
2023-09-01,04:40,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,04:40,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:40,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:40,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:45,All directions,3.0,2.0,1.0
2023-09-01,04:45,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:45,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:45,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:45,Southern Shared Path Westbound,3.0,2.0,1.0
2023-09-01,04:50,All directions,2.0,0.0,2.0
2023-09-01,04:50,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:50,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:50,Southern Shared Path Eastbound,1.0,0.0,1.0
2023-09-01,04:50,Southern Shared Path Westbound,1.0,0.0,1.0
